City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,talnakh,69.4865,88.3972,-20.36,96,63,1.06,RU,1698548140
83,broome,42.2506,-75.833,9.7,80,0,2.57,US,1698548312
84,lata,40.1629,-8.3327,17.73,91,98,6.62,PT,1698548312
85,iskateley,67.6803,53.1512,-12.21,90,100,3.58,RU,1698548312
86,blackmans bay,-43.0167,147.3167,18.62,43,100,1.79,AU,1698548312
87,thompson,55.7435,-97.8558,-11.91,92,20,1.03,CA,1698548110
88,berdigestyakh,62.0989,126.6992,-4.47,92,100,3.88,RU,1698548312
89,kisaran,2.9845,99.6158,25.81,88,95,1.26,ID,1698548312
90,fort st. john,56.2499,-120.8529,-1.06,59,20,0.0,CA,1698548285
91,udachny,66.4167,112.4,-13.64,84,98,4.04,RU,1698548129
92,puerto ayora,-0.7393,-90.3518,23.64,90,34,2.68,EC,1698548313
93,srednyaya yelyuzan',53.0241,45.9529,6.4,94,100,6.74,RU,1698548313
94,zorya,45.9908,29.6967,12.85,49,3,1.29,UA,1698548313
95,remire-montjoly,4.9167,-52.2667,27.02,89,20,1.03,GF,1698548313
96,tommot,58.9564,126.2925,-3.66,93,100,3.43,RU,1698548313
97,buka,40.8108,69.1986,19.3,38,16,0.64,UZ,1698548313
98,port augusta,-32.5,137.7667,27.83,25,2,4.2,AU,1698548313
99,bangor trident base,47.7227,-122.7145,6.57,78,0,0.89,US,1698548313
100,coahuayana de hidalgo,18.7,-103.6583,25.77,89,100,0.44,MX,1698548313
101,ust-nera,64.5667,143.2,-11.89,94,61,0.8,RU,1698548313
102,st. john's,47.5649,-52.7093,13.87,89,75,7.72,CA,1698548258
103,invercargill,-46.4,168.35,13.34,70,62,4.02,NZ,1698547844
104,chifeng,42.2683,118.9636,19.07,31,2,3.98,CN,1698548313
105,chonchi,-42.6128,-73.8092,6.56,90,68,3.65,CL,1698548313
106,bubaque,11.2833,-15.8333,27.44,78,1,4.35,GW,1698548313
107,utrik,11.2278,169.8474,28.28,72,28,7.37,MH,1698548313
108,stanley,54.868,-1.6985,10.29,95,75,6.17,GB,1698548086
109,kharp,66.8014,65.8081,-13.25,89,23,1.82,RU,1698548314
110,ibipeba,-11.6408,-42.0111,22.58,65,5,5.65,BR,1698548314
111,papao,-17.75,-149.55,27.82,78,100,6.24,PF,1698548314
112,iquique,-20.2208,-70.1431,17.02,81,73,0.81,CL,1698548039
113,tiksi,71.6872,128.8694,-10.16,91,100,2.2,RU,1698548314
114,sanandrei,45.8531,21.1681,12.88,88,0,4.12,RO,1698548314
115,guerrero negro,27.9769,-114.0611,18.6,76,0,7.19,MX,1698548314
116,puerto lempira,15.2667,-83.7667,25.62,86,8,2.39,HN,1698548314
117,port isabel,26.0734,-97.2086,27.23,79,0,5.14,US,1698548314
118,longyearbyen,78.2186,15.6401,-3.09,86,75,3.09,SJ,1698548125
119,ostashkov,57.1467,33.1075,-1.76,91,100,3.32,RU,1698548314
120,papatowai,-46.5619,169.4708,11.28,63,75,2.73,NZ,1698548314
121,susuman,62.7833,148.1667,-14.45,96,86,0.89,RU,1698548314
122,ulundi,-28.3352,31.4162,12.88,85,100,4.64,ZA,1698548314
123,adamovka,51.5223,59.9396,0.84,99,100,6.28,RU,1698548314
124,daru,-9.0763,143.2092,25.91,90,100,7.98,PG,1698548314
